"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date,
DR4020-251-01 Welfare and Recreation Organizations (07/27/05),OHRM-PMPD,OHRM-DRWD,07/27/05,,
DR4020-511-001 Position Classification (10/17/2016),OHRM,OHRM-HRPD,10/17/16,,
DR4030-001 Section 508 (09/08/14),OCIO,OCIO-IRMC-Section 508,09/08/14,,
DR4030-330-002 Special Selection Priority Programs (02/27/14),OHRM,OHRM-HRPD,02/27/14,,
DR4030-335-002 Merit Promotion and Internal Placement (07/22/15),OHRM,OHRM-HRPD,07/22/15,,
DR4030-337-002 Category Rating (11/01/10),OHRM,OHRM-HRPD,11/01/10,,
DR4030-337-004 Delegated Examining (03/11/2013),OHRM,OHRM-HRPD,03/11/13,,
DR4040-410 Creating Individual Development Plans (IDP) (02/07/11),OHRM,OHRM-VU,02/07/11,,
DR4040-412-001 Leadership Competency Framework (07/25/14),OHRM,OHRM-VU,07/25/14,,
DR4040-412-002 Training and Development for Supervisors (07/25/14),OHRM,OHRM-VU,07/25/14,,
DR4040-430 Employee Performance and Awards (06/24/20),OHRM,OHRM-HRPD,06/24/20,06/24/25,
DR4040-430-004 Senior Executive Service (SES) Performance Management (08/26/2015),OHRM,OHRM-ERMD,08/26/15,,
DR4040-534-002 Senior Executive Service Pay and Compensation Policy (09/30/15),OHRM,OHRM-ERMD,09/30/15,,
DR4050-531-002 Pay Administration – Superior Qualifications and Special Needs Pay Setting Authority (05/27/14),OHRM,OHRM-HRPD,05/27/14,,
DR4050-537 Repayment of Student Loans (09/01/04),OHRM,OHRM-HRPD,09/01/04,,
DR4050-550-002 Pay Administration - Compensatory Time Off for Travel (06/20/08),OHRM,OHRM-HRPD,06/20/08,,
DR4050-550-003 Advances in Pay (05/12/16),OHRM,OHRM-HRPD,05/12/16,,
"DR4050-572-001 Payment of Travel and Transportation Expenses for New Appointees and Pre-Employment
Interviews (02/03/11)",OHRM,OHRM-HRPD,02/03/11,,
DR4060-001 Professional Liability Insurance Program (02/07/02),"Human Resources
Management",OHRM-HRPD,02/07/02,,
DR4060-630-001 Creditable Service for Annual Leave Accrual (08/08/07),"Office of Human Capital
Management",OHRM-HRPD,08/08/07,,
DR4060-630-002 Leave Administration - Excused Absence/Administrative Leave (10/19/10),OHRM,OHRM-HRPD,10/19/10,,
DR4070-711 Labor Relations (09/30/10),OHRM-LERD,OHRM-ER/LR,09/30/10,,
DR4070-735-001 Employee Responsibilities and Conduct (10/04/07),"Office of Human Capital
Management",OHRM-ER/LR,10/04/07,,
DR4070-771-001 Administrative Grievance System (11/27/20),OHRM,OHRM-ER/LR,11/27/20,11/27/25,
DR4080-811-002 Telework and Remote Work Programs (11/22/21),OHRM,OHRM,11/22/21,11/22/26,
DR4080-811-01 USDA Child Care Tuition Assistance Program (08/23/02),OHRM,OHRM-DRWD,08/23/02,,
DR4080-811-03 Child Care Centers (09/5/03),OHRM,OHRM,09/05/03,,
DR4080-811-04 USDA Commuter Transit Subsidy Benefits Program (07/29/15),OHRM,OHRM-DRWD,07/29/15,,
DR4090-920-002 Senior Science and Technology Service (03/29/12),OHRM,OHRM-ERMD,03/29/12,,
DR4120-001 Annual Departmental Civil Rights Training (06/14/16),OASCR,OASCR,06/14/16,,
DR4200-001 Workplace Violence Prevention Program (04/17/13),OHRM,OHRM-ER/LR,04/17/13,,
"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date,
DR4200-002 Domestic Violence Prevention and Response Program (7/28/14),OCIO-ASOC,OHRM-ER/LR,07/28/14,,
DR4230-001 Volunteer Programs (10/20/16),OHRM,OHRM-HRPD,10/20/16,,
DR4230-002 Special Emphasis Programs (06/04/09),OASCR,OASCR,06/04/09,,
DR4300-002 Federal Equal Opportunity Recruitment Plan (10/18/84),Office of Equal Opportunity,OASCR,10/18/84,,
DR4300-003 Equal Opportunity Public Notification Policy (10/17/19),OASCR,OASCR,10/17/19,10/17/24,
DR4300-004 Civil Rights Impact Analysis (10/17/16),OASCR,OASCR,10/17/16,,
DR4300-007 Processing Equal Employment Opportunity (EEO) Complaints of Discrimination (08/04/21),OASCR,OASCR,08/04/21,08/04/26,
DR4300-008 Reasonable Accommodations and Personal Assistance Services for Employees and Applicants with Disabilities (10/27/20),OASCR,OASCR,10/27/20,10/27/25,
DR4300-010 Civil Rights Accountability Policy and Procedures (12/28/16),"OASCR, OHRM","OASCR, OHRM",12/28/16,,
"DR4330-002 Nondiscrimination in Programs and Activities Receiving Federal Financial Assistance From USDA
(07/27/21)",OASCR,OASCR,07/27/21,07/27/26,
DR4330-003 Nondiscrimination in USDA-Conducted Programs and Activities (10/05/15),OASCR,OASCR,10/05/15,,
"DR4330-005 Prohibition Against National Origin Discrimination Affecting Persons with Limited English Proficiency in
Programs and Activities Conducted by USDA (06/04/13)",ASCR,OASCR,06/04/13,,
DR4360-001 Communicating With Under-served Communities (01/14/98),Office of Outreach,OAO,01/14/98,,
DR4360-002 Coordination of Requests for USDA Support for Outreach Related Activities (08/08/01),Office of Outreach,OAO,08/08/01,,
