"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date
DR4050-550-003 Advances in Pay (05/12/16),OHRM,OHRM-HRPD,5/12/2016,
"DR4050-572-001 Payment of Travel and Transportation Expenses for New Appointees and Pre-Employment
Interviews (02/03/11)",OHRM,OHRM-HRPD,2/3/2011,
DR4060-001 Professional Liability Insurance Program (02/07/02),"Human Resources
Management",OHRM-HRPD,2/7/2002,
DR4060-630-001 Creditable Service for Annual Leave Accrual (08/08/07),"Office of Human Capital
Management",OHRM-HRPD,8/8/2007,
DR4060-630-002 Leave Administration - Excused Absence/Administrative Leave (10/19/10),OHRM,OHRM-HRPD,10/19/2010,
DR4070-711 Labor Relations (09/30/10),OHRM-LERD,OHRM-ER/LR,9/30/2010,
DR4070-735-001 Employee Responsibilities and Conduct (10/04/07),"Office of Human Capital
Management",OHRM-ER/LR,10/4/2007,
DR4070-771-001 Administrative Grievance System (11/27/20),OHRM,OHRM-ER/LR,11/27/2020,11/27/2025
DR4080-811-002 Telework and Remote Work Programs (11/22/21),OHRM,OHRM,11/22/2021,11/22/2026
DR4080-811-01 USDA Child Care Tuition Assistance Program (08/23/02),OHRM,OHRM-DRWD,8/23/2002,
DR4080-811-03 Child Care Centers (09/5/03),OHRM,OHRM,9/5/2003,
DR4080-811-04 USDA Commuter Transit Subsidy Benefits Program (07/29/15),OHRM,OHRM-DRWD,7/29/2015,
DR4090-920-002 Senior Science and Technology Service (03/29/12),OHRM,OHRM-ERMD,3/29/2012,
DR4120-001 Annual Departmental Civil Rights Training (06/14/16),OASCR,OASCR,6/14/2016,
DR4200-001 Workplace Violence Prevention Program (04/17/13),OHRM,OHRM-ER/LR,4/17/2013,
"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date
DR4200-002 Domestic Violence Prevention and Response Program (7/28/14),OCIO-ASOC,OHRM-ER/LR,7/28/2014,
DR4230-001 Volunteer Programs (10/20/16),OHRM,OHRM-HRPD,10/20/2016,
DR4230-002 Special Emphasis Programs (06/04/09),OASCR,OASCR,6/4/2009,
DR4300-002 Federal Equal Opportunity Recruitment Plan (10/18/84),Office of Equal Opportunity,OASCR,10/18/1984,
DR4300-003 Equal Opportunity Public Notification Policy (10/17/19),OASCR,OASCR,10/17/2019,10/17/2024
DR4300-004 Civil Rights Impact Analysis (10/17/16),OASCR,OASCR,10/17/2016,
DR4300-007 Processing Equal Employment Opportunity (EEO) Complaints of Discrimination (08/04/21),OASCR,OASCR,8/4/2021,8/4/2026
DR4300-008 Reasonable Accommodations and Personal Assistance Services for Employees and Applicants with Disabilities (10/27/20),OASCR,OASCR,10/27/2020,10/27/2025
DR4300-010 Civil Rights Accountability Policy and Procedures (12/28/16),"OASCR, OHRM","OASCR, OHRM",12/28/2016,
"DR4330-002 Nondiscrimination in Programs and Activities Receiving Federal Financial Assistance From USDA
(07/27/21)",OASCR,OASCR,7/27/2021,7/27/2026
DR4330-003 Nondiscrimination in USDA-Conducted Programs and Activities (10/05/15),OASCR,OASCR,10/5/2015,
"DR4330-005 Prohibition Against National Origin Discrimination Affecting Persons with Limited English Proficiency in
Programs and Activities Conducted by USDA (06/04/13)",ASCR,OASCR,6/4/2013,
DR4360-001 Communicating With Under-served Communities (01/14/98),Office of Outreach,OAO,1/14/1998,
DR4360-002 Coordination of Requests for USDA Support for Outreach Related Activities (08/08/01),Office of Outreach,OAO,8/8/2001,
